county,well_records,median_depth_ft,depth_p25_ft,depth_p75_ft,median_static_water_level_ft,median_yield_gpm,complete_system_low_usd,complete_system_high_usd
"Adams",1344,71,52,95,23,3,7860,13100
"Allen",7093,71,52,102,27,15,4440,7400
"Ashland",6014,110,77,147,38,15,8160,13600
"Ashtabula",5597,60,50,80,10,6,3600,6000
"Athens",926,80,55,120,30,3,7200,12000
"Auglaize",3230,114,79,159,30,20,7980,13300
"Belmont",1151,105,78,142,45,4,9900,16500
"Brown",264,92,65,115,18,4,5760,9600
"Butler",4334,60,50,80,23,10,3600,6000
"Carroll",6840,140,91,202,60,12,9600,16000
"Champaign",6463,95,62,144,40,15,6480,10800
"Clark",11908,89,60,126,30,15,6240,10400
"Clermont",689,72,60,90,25,6,3600,6000
"Clinton",2129,95,66,122,20,10,6000,10000
"Columbiana",9875,135,95,200,50,15,9600,16000
"Coshocton",4795,102,67,180,45,10,8400,14000
"Crawford",4276,60,45,87,20,10,4020,6700
"Cuyahoga",4393,84,60,135,30,10,6780,11300
"Darke",7554,102,70,142,23,25,7320,12200
"Defiance",2777,88,70,114,30,18,5700,9500
"Delaware",5404,75,52,102,20,15,6000,10000
"Erie",1679,68,50,100,16,10,7200,12000
"Fairfield",14799,102,68,156,39,15,7200,12000
"Fayette",3015,87,64,118,18,15,6000,10000
"Franklin",17402,96,62,135,37,14,6780,11300
"Fulton",4370,101,62,151,28,7,6240,10400
"Gallia",516,73,60,101,30,5,7200,12000
"Geauga",17101,105,80,142,39,16,7200,12000
"Greene",8799,93,66,125,30,12,6000,10000
"Guernsey",2223,111,85,145,40,4,7560,12600
"Hamilton",1117,80,60,100,39,18,4860,8100
"Hancock",5191,68,45,93,20,15,4680,7800
"Hardin",3156,90,65,123,25,15,5400,9000
"Harrison",1739,123,84,180,47,8,9600,16000
"Henry",2208,78,59,100,30,8,4920,8200
"Highland",1999,100,75,125,20,8,6120,10200
"Hocking",5060,222,120,342,110,10,19200,32000
"Holmes",7140,152,100,230,80,15,10200,17000
"Huron",3246,63,45,87,18,10,3720,6200
"Jackson",931,85,60,135,30,3,16200,27000
"Jefferson",1368,130,85,200,55,8,10620,17700
"Knox",9534,140,100,188,60,15,9600,16000
"Lake",3417,80,51,100,16,8,4800,8000
"Lawrence",457,82,68,118,32,5,7800,13000
"Licking",18908,140,93,202,51,15,9720,16200
"Logan",6426,119,72,175,22,20,7800,13000
"Lorain",2567,60,45,76,13,10,5940,9900
"Lucas",6818,82,62,105,32,10,6000,10000
"Madison",5002,105,74,142,30,20,6180,10300
"Mahoning",11564,120,86,170,30,15,9600,16000
"Marion",4221,80,59,100,22,15,5400,9000
"Medina",11265,95,70,125,35,15,7200,12000
"Meigs",829,91,65,140,36,5,9600,16000
"Mercer",5033,150,117,182,29,21,10620,17700
"Miami",8460,87,61,118,21,18,6060,10100
"Monroe",599,100,72,143,38,4,7680,12800
"Montgomery",7796,80,56,110,23,12,6000,10000
"Morgan",1239,76,54,100,30,2,5880,9800
"Morrow",5414,85,48,127,30,12,7200,12000
"Muskingum",4891,110,71,180,40,10,10800,18000
"Noble",385,100,70,125,30,2,9600,16000
"Ottawa",5354,75,55,100,18,16,5700,9500
"Paulding",2967,61,50,80,20,10,4080,6800
"Perry",3948,120,80,211,41,10,9060,15100
"Pickaway",5979,93,59,138,38,15,6180,10300
"Pike",927,70,53,100,25,7,6120,10200
"Portage",18795,95,70,127,30,15,7200,12000
"Preble",4449,80,55,113,23,14,5940,9900
"Putnam",4477,78,55,123,25,10,6000,10000
"Richland",13190,125,85,180,55,14,9600,16000
"Ross",3555,76,51,110,28,10,5040,8400
"Sandusky",6746,90,74,112,22,15,6120,10200
"Scioto",1651,55,45,70,21,5,5520,9200
"Seneca",5544,93,73,118,26,15,5880,9800
"Shelby",4902,113,80,159,35,20,7380,12300
"Stark",23050,120,82,180,40,15,7800,13000
"Summit",25599,82,60,116,30,15,6000,10000
"Trumbull",8440,98,73,125,25,15,6600,11000
"Tuscarawas",10285,138,78,240,50,13,12000,20000
"Union",7603,100,74,138,27,15,6000,10000
"Van Wert",2665,100,70,130,20,15,7260,12100
"Vinton",1723,260,150,360,100,5,21600,36000
"Warren",4353,61,45,91,20,10,2820,4700
"Washington",1216,86,64,120,35,3,5400,9000
"Wayne",16723,110,82,145,45,15,7200,12000
"Williams",4799,101,77,131,28,45,6600,11000
"Wood",7105,80,61,105,15,15,4920,8200
"Wyandot",3589,86,69,110,28,14,5700,9500
